Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State ESC,Pin State Servo1,Pin State Servo2,Pin State Servo3,Debug 0,Debug 1,Debug 2,Debug 3,Debug 3,App message,
0,1000,,,,0,0.078125,-0.99609375,0.00023441298800378196,0.8652179143290625,16.690683122615134,0,0,0,0.2282469379369057,0,0,0,0,0.11913197832227788,0.027157127447212707,0.03376744662130423,0.05859375,0.012519823272237303,0,1,1,1,0,0,0,0,0,,
0.11507499999998254,1000,,,,0,0.072265625,-0.98828125,0.0002013841533152492,0.8652179143290625,16.69164185030206,0.015011347558833394,0,0,0.23222994326296043,0,0,0,0,0.1192304450063753,0.027443899848419058,0.03376744662130423,0.05859375,0.012650355911395971,0,1,1,1,0,0,0,0,0,,
0.2165399999999936,1000,,,,0,0.080078125,-0.99609375,0.0002561649042265874,-0.11105232764970979,16.692007338903455,0,0,0,0.19129258033401245,0,0,0,0,0.11886243477190794,0.026800188531211185,0.03270558373694969,0.05859375,0.012556215697060401,0,1,1,1,0,0,0,0,0,,
0.3309399999999878,1000,,,,0,0.072265625,-0.990234375,0.0002561649042265874,0.28247738584953375,16.691416106886162,0,0,0,0.2043244290721451,0,0,0,0,0.11886243477190794,0.026800188531211185,0.033133615421914855,0.05859375,0.012341759008748168,0,1,1,1,0,0,0,0,0,,
0.43052499999999416,1000,,,,0,0.080078125,-0.99609375,0.00014650106252617464,0.8854897372197437,16.690650128348064,0,0,0,0.21105665389187417,0,0,0,0,0.11859777703983196,0.027266581001655587,0.033789495737829786,0.05859375,0.012480349708998747,0,1,1,1,0,0,0,0,0,,
0.5400749999999971,1000,,,,0,0.080078125,-0.998046875,0.00015942585466889372,0.8854897372197437,16.69078956306506,0,0,0,0.19904823443249897,0,0,0,0,0.11861458364045825,0.02719980068420511,0.033789495737829786,0.05859375,0.0124326524123928,0,1,1,1,0,0,0,0,0,,
0.643625,1000,,,,0,0.07421875,-0.990234375,0.00015942585466889372,1.7973841483078483,16.69115014903368,0,0,0,0.15939481258654062,0,0,0,0,0.11861458364045825,0.02719980068420511,0.034781338762382256,0.05859375,0.012378539068972957,0,1,1,1,0,0,0,0,0,,
0.7585299999999843,1000,,,,-0.0078125,0.0859375,-0.990234375,0.0003114296150679954,2.248625744086395,16.69135794957772,0.023392907154045666,1481,0,0.39042675933950954,0.04831427790495014,12.37473527344388,46.54164030993428,5.759404780272813,0.1191652920227069,0.026704316829058543,0.03527214210947902,0.060546875,0.013173447477184002,0,1,1,1,0,0,0,0,0,,
0.8669999999999854,1000,,,,0.064453125,0.095703125,-0.951171875,0.00033380151085424573,2.248625744086395,16.688476573567506,0.07077273788236733,6409,0,1.1956611077251336,0.22403609898335367,18.737424637789303,10.036890279246792,1.880654752051468,0.1189030720027264,0.02634952604630063,0.03527214210947902,0.08984375,0.016869397864656608,0,1,1,1,0,0,0,0,0,,
0.9911999999999825,1000,,,,-0.048828125,0.0234375,-1.005859375,0.0003494898312492901,2.602558277598661,16.687457594870732,0.08921454202809571,7657,0,1.4775669968808451,0.280226797508294,18.96542072879638,9.287328338117385,1.761380893788695,0.11915015521396743,0.026454599076760857,0.0356571050067814,0.13671875,0.020020142559893303,0,1,1,1,0,0,0,0,0,,
1.1531749999999883,1000,,,,-0.0546875,0.060546875,-1.0078125,0.0003494898312492901,0.31399182976789336,16.685019675145742,0.1143358133373609,8039,0,1.7689920723428298,0.29423271434867787,16.63278874726668,1.0671547195659559,0.17749759011189162,0.11915015521396743,0.026454599076760857,0.033167892834949746,0.17578125,0.025548531996510252,0,1,1,1,0,0,0,0,0,,
1.2576499999999942,1000,,,,-0.001953125,0.0625,-0.962890625,0.0003347445337440758,-0.423635896731853,16.686401722006504,0.08697037741751623,8138,0,1.3078965617467901,0.28525694678847796,21.810359865729502,1.485102822214475,0.323906269901082,0.1192304900511982,0.026612493381517284,0.032365594996132764,0.201171875,0.02683503378923812,1,1,1,1,0,0,0,0,0,,
1.375550000000003,1000,,,,0,0.078125,-0.99609375,0.0003347445337440758,0.2627851646124689,16.688306855211998,0.05241370466408825,8147,0,0.784843710956186,0.28557606312467304,36.38636063946436,0.9201932463707423,0.33482483320445305,0.1192304900511982,0.026612493381517284,0.03311219672251892,0.181640625,0.026399969621855066,0,1,1,1,0,0,0,0,0,,
1.479449999999997,1000,,,,0,0.078125,-0.99609375,0.00018154617505327725,0.7149966682840597,16.689908169511668,0.027702344570275074,8157,0,0.5175157255497553,0.15507358514944233,29.964999611308073,4.610692837178085,1.3815940907390223,0.11903393818998816,0.027406226964726225,0.03360405501234423,0.162109375,0.02557855974954678,0,1,1,1,0,0,0,0,0,,
1.5942449999999952,1000,,,,-0.0078125,0.0703125,-0.984375,0.00016597166849062557,0.7149966682840597,16.687862895675412,0.07568963885501206,9048,0,1.2536418889522367,0.15725974657809688,12.544231966397575,4.546596849111573,0.5703356553294788,0.11899504002109754,0.027471387451903816,0.03360405501234423,0.1484375,0.028941705057025948,0,1,1,1,0,0,0,0,0,,
1.701904999999999,1000,,,,-0.017578125,0.06640625,-0.98828125,0.000024823311049481547,1.284440185473148,16.685098225081354,0.12184651437922145,11367,0,1.952046373589238,0.029547491473058546,1.5136674964708658,43.47036318275285,0.6579967580951681,0.11650763176366556,0.026308946423254497,0.034223423410190516,0.14453125,0.03394695865477356,0,1,1,1,0,0,0,0,0,,
1.8150599999999977,1000,,,,-0.013671875,0.072265625,-0.994140625,0.000024823311049481547,1.3971868869550073,16.683025330430873,0.13900734559345973,11550,0,2.2326624074147743,0.03002521333414925,1.344816539859951,46.53378716766396,0.6257940664539724,0.11650763176366556,0.026308946423254497,0.03434605496494766,0.140625,0.03792398331162919,0,1,1,1,0,0,0,0,0,,
1.9162599999999947,1000,,,,-0.0234375,0.068359375,-0.986328125,-0.0002165628694806367,1.3971868869550073,16.68252179519481,0.1514467756739974,11829,0,2.4305464866220956,0.2682626577983741,11.037133388516175,5.208279446799231,0.5748447497899034,0.11483785937373531,0.02644281431176594,0.03434605496494766,0.138671875,0.04229476285666499,0,1,1,1,0,0,0,0,0,,
2.025804999999993,1000,,,,-0.013671875,0.06640625,-0.9921875,-0.00034171862315242264,-0.05597958895726664,16.682504059355267,0.15368148291221725,11862,0,2.4785767669964076,0.4244929346613794,17.126479208299404,0.13187401811981134,0.02258537629443848,0.11449394327056359,0.0269407121090553,0.032765484873584494,0.13671875,0.045924398829009234,0,1,1,1,0,0,0,0,0,,
2.1331150000000054,1000,,,,0,0.072265625,-0.990234375,-0.00034171862315242264,-0.3670153669200557,16.68553789920234,0.08463154816061523,11912,0,1.335997109194415,0.4262595341535202,31.905722790863518,0.8610138601330912,0.27471269540497745,0.11449394327056359,0.0269407121090553,0.03242717962353857,0.12890625,0.04474074093383693,0,1,1,1,0,0,0,0,0,,
2.251699999999997,1000,,,,0,0.078125,-0.99609375,0.000009296466159635395,0.8529974361816383,16.688551882093947,0.047262392167696315,11931,0,0.7342322471593976,0.011614801536162568,1.5818974964798929,73.44055199960492,1.1617542534827638,0.1175030961618455,0.027223136583622964,0.033754154735906275,0.119140625,0.04348702127503469,0,1,1,1,0,0,0,0,0,,
2.386654999999984,1000,,,,0,0.076171875,-0.9921875,0.0003804416658208619,0.8529974361816383,16.689959615586304,0.027136392535581037,11937,0,0.4280811878653463,0.47558038206121833,111.09583778552141,1.793592562596153,1.9926066838749987,0.11967098068080043,0.026689283661404363,0.033754154735906275,0.109375,0.042179083526969356,0,1,1,1,0,0,0,0,0,,
2.538304999999993,1000,,,,0,0.078125,-0.99609375,0.0006075542555338815,1.4805335142915863,16.69094464406479,0.01649970682871124,10693,0,0.26009543903965676,0.6803222837272964,261.56640279400193,2.1762237541010054,5.692270190350587,0.12095775225377046,0.026329919038337115,0.03443670884980382,0.099609375,0.040519566776988106,0,1,1,1,0,0,0,0,0,,
2.6484550000000016,1000,,,,0,0.076171875,-0.994140625,0.00038027914592988446,1.4805335142915863,16.69112851780733,0,0,0,0.23454383808058776,0,0,0,0,0.11894843161764436,0.026097003679612166,0.03443670884980382,0.08984375,0.03950913142099301,0,1,1,1,0,0,0,0,0,,
2.759479999999996,1000,,,,0,0.080078125,-0.99609375,0.00021502617804419874,0.2136497637333124,16.690183290967042,0,0,0,0.20106730784531518,0,0,0,0,0.11753226747454086,0.025964454999147814,0.0330587534685325,0.0859375,0.038576364160031414,0,1,1,1,0,0,0,0,0,,
2.861220000000001,1000,,,,0,0.080078125,-0.99609375,0.00021502617804419874,-0.04032957083378535,16.690279808149533,0,0,0,0.20873911026733483,0,0,0,0,0.11753226747454086,0.025964454999147814,0.03278250697737321,0.08203125,0.037752168388635196,0,1,1,1,0,0,0,0,0,,
2.9707549999999903,1000,,,,0,0.07421875,-0.9921875,-0.000022813551172984647,-0.04032957083378535,16.690102086008693,0.01630973094377018,0,0,0.21996430283956497,0,0,0,0,0.11648795842403092,0.0265897873541891,0.03278250697737321,0.078125,0.03717657168941631,0,1,1,1,0,0,0,0,0,,
3.073904999999999,1000,,,,0,0.076171875,-0.9921875,-0.000013925146995771696,1.1223835806700737,16.690009210260477,0,0,0,0.17937646647212718,0,0,0,0,0.11720478614535906,0.02712296741776067,0.03404715879983416,0.07421875,0.03607200044657789,0,1,1,1,0,0,0,0,0,,
3.189604999999996,1000,,,,0,0.072265625,-0.990234375,-0.000013925146995771696,1.5882396427164316,16.69051053490719,0,0,0,0.20481095817004213,0,0,0,0,0.11720478614535906,0.02712296741776067,0.03455385790881852,0.072265625,0.03529886537071844,0,1,1,1,0,0,0,0,0,,
3.2913899999999847,1000,,,,0,0.080078125,-0.99609375,0.0004009728652534093,1.6168983415940108,16.69012663759004,0,0,0,0.22923936187723654,0,0,0,0,0.12024041055628314,0.027028845964200802,0.03458502920478091,0.0703125,0.034303241282739094,0,1,1,1,0,0,0,0,0,,
3.399329999999987,1000,,,,0,0.076171875,-0.9921875,0.0004874043872071336,1.6168983415940108,16.690954567665997,0,0,0,0.25985312970456936,0,0,0,0,0.12086576295511134,0.027003467290504797,0.03458502920478091,0.068359375,0.0337519232016238,1,1,1,1,0,0,0,0,0,,
3.505584999999992,1000,,,,0,0.080078125,-0.99609375,0.00048032534526510766,1.6432290202335638,16.690896595658025,0,0,0,0.2601242042943489,0,0,0,0,0.1209615731451976,0.02712627284332201,0.034613668375745026,0.06640625,0.03298383924158506,0,1,1,1,0,0,0,0,0,,
3.6205599999999976,1000,,,,0,0.076171875,-0.994140625,0.00048032534526510766,1.1951920054231626,16.69056476163835,0.015207016306674221,0,0,0.24465376320053567,0,0,0,0,0.1209615731451976,0.02712627284332201,0.034126350565176634,0.06640625,0.032514049403643906,0,1,1,1,0,0,0,0,0,,
