Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State ESC,Pin State Servo1,Pin State Servo2,Pin State Servo3,Debug 0,Debug 1,Debug 2,Debug 3,Debug 3,App message,
0,1000,,,,-0.03125,0.095703125,-0.9921875,0.0004470923906544611,-0.002882246898359069,15.92824528632756,0,0,0,0.27942626665580694,0,0,0,0,0.07469095336781853,0.022868346634698226,0.10688032122441286,0.06640625,0,0,1,1,1,0,0,0,0,0,,
0.5048899999996648,1000,,,,-0.001953125,0.068359375,-0.9921875,0.0005145147096369491,-0.0034911911124124962,15.929326040250002,0,0,0,0.30007079331976966,0,0,0,0,0.07519318618414818,0.022865755769466912,0.10620662082923224,0.068359375,0,0,1,1,1,0,0,0,0,0,,
0.6163349999999628,1000,,,,-0.0234375,0.083984375,-0.98828125,0.00030739680822126366,-0.003932488069169851,15.928396674607493,0,0,0,0.2639628505161874,0,0,0,0,0.07423105553889411,0.023357157551874872,0.10571839559069938,0.072265625,0,0,1,1,1,0,0,0,0,0,,
1.1693450000002048,1000,,,,-0.01953125,0.083984375,-0.9921875,0.0002865888073025077,-0.002458505069415583,15.929630117306385,0,0,0,0.2723928204857565,0,0,0,0,0.07345009300761579,0.022836835040729864,0.10734912449247173,0.076171875,0,0,1,1,1,0,0,0,0,0,,
1.2859550000000746,1000,,,,-0.005859375,0.072265625,-0.9921875,0.0002877606067359127,-0.0033892167792841954,15.929293967053198,0,0,0,0.3414794889787408,0,0,0,0,0.07317721864545987,0.02260235163392547,0.10631943928934949,0.07421875,0,0,1,1,1,0,0,0,0,0,,
1.3890349999996834,1000,,,,-0.00390625,0.064453125,-0.98828125,0.00021377354564881552,-0.003490565657112156,15.927111774058272,0.05844392375915035,0,0,1.1987148475627483,0,0,0,0,0.07303011868814739,0.022941558447411633,0.10620731279653119,0.0703125,0,0,1,1,1,0,0,0,0,0,,
1.5018250000001863,1000,,,,-0.0078125,0.072265625,-0.9921875,0.00021377354564881552,-0.0028116485548718264,15.92359062962289,0.12198456340511563,0,0,2.026917706508011,0,0,0,0,0.07303011868814739,0.022941558447411633,0.1069584271178737,0.0703125,0.01418820132538138,0,1,1,1,0,0,0,0,0,,
1.6031499999999068,1000,,,,-0.001953125,0.06640625,-0.9921875,0.00023747554361360483,-0.002377042107352011,15.92177935371149,0.15411651890262273,0,0,2.4629348313795,0,0,0,0,0.0729250941135743,0.022706226758388244,0.10743925036684288,0.068359375,0.02018206042283082,0,1,1,1,0,0,0,0,0,,
1.7306599999996835,1000,,,,-0.00390625,0.068359375,-0.9921875,0.0001499324439981546,-0.002377042107352011,15.922643139207882,0.16529770376280278,0,0,2.574353240854248,0,0,0,0,0.07290180724910933,0.02323309750608628,0.10743925036684288,0.068359375,0.02569554297511686,0,1,1,1,0,0,0,0,0,,
1.8360450000003912,1000,,,,0,0.064453125,-0.9921875,0.00027147002403351905,-0.0021230463332063145,15.925584393972994,0.08483838194734004,0,0,1.3997300478961894,0,0,0,0,0.07304352982878781,0.022592705000310825,0.10772025649099524,0.06640625,0.025008850227756278,0,1,1,1,0,0,0,0,0,,
